,Query,Database,Length,Evalue
528476,phi11BS70.fa,6472_5_12,1538,0.0
528479,phi11BS70.fa,22984_8_77,1538,0.0
528480,phi11BS70.fa,22984_8_25,1538,0.0
528482,phi11BS70.fa,22841_4_187,1538,0.0
528483,phi11BS70.fa,22695_3_267,1519,0.0
528485,phi11BS70.fa,22695_3_210,1538,0.0
528490,phi11BS70.fa,21127_1_52,1538,0.0
528491,phi11BS70.fa,21053_8_136,1538,0.0
528492,phi11BS70.fa,21053_8_135,1519,0.0
528493,phi11BS70.fa,19084_8_88,1538,0.0
528494,phi11BS70.fa,19084_8_42,1538,0.0
528495,phi11BS70.fa,19084_8_182,1519,0.0
528497,phi11BS70.fa,19084_8_165,1519,0.0
528498,phi11BS70.fa,19084_7_38,1519,0.0
528501,phi11BS70.fa,18090_1_117,1519,0.0
528502,phi11BS70.fa,17966_5_143,1519,0.0
528503,phi11BS70.fa,17966_5_122,1538,0.0
528504,phi11BS70.fa,17794_8_146,1519,0.0
528509,phi11BS70.fa,15608_3_20,1538,0.0
528510,phi11BS70.fa,15608_3_14,1538,0.0
528514,phi11BS70.fa,15277_1_24,1538,0.0
528515,phi11BS70.fa,14913_5_24,1519,0.0
528516,phi11BS70.fa,14723_1_66,1519,0.0
528517,phi11BS70.fa,14673_4_54,1538,0.0
528519,phi11BS70.fa,14673_4_23,1519,0.0
528522,phi11BS70.fa,14673_1_90,1538,0.0
528526,phi11BS70.fa,13710_2_8,1538,0.0
528527,phi11BS70.fa,13710_2_45,1538,0.0
528529,phi11BS70.fa,13710_2_11,1519,0.0
528530,phi11BS70.fa,13710_1_9,1519,0.0
528531,phi11BS70.fa,13710_1_68,1538,0.0
528532,phi11BS70.fa,13710_1_62,1519,0.0
528533,phi11BS70.fa,13710_1_60,1538,0.0
528534,phi11BS70.fa,13710_1_59,1538,0.0
528535,phi11BS70.fa,13710_1_3,1538,0.0
528536,phi11BS70.fa,13710_1_12,1538,0.0
528539,phi11BS70.fa,13414_3_59,1538,0.0
528540,phi11BS70.fa,13414_3_42,1538,0.0
528542,phi11BS70.fa,13414_2_78,1538,0.0
528544,phi11BS70.fa,13414_2_56,1538,0.0
528547,phi11BS70.fa,13414_1_1,1538,0.0
528549,phi11BS70.fa,13353_7_73,1538,0.0
528551,phi11BS70.fa,13353_7_48,1519,0.0
528554,phi11BS70.fa,12838_1_90,1538,0.0
528555,phi11BS70.fa,12299_1_86,1519,0.0
528556,phi11BS70.fa,12291_5_56,1519,0.0
528557,phi11BS70.fa,12291_5_24,1519,0.0
528559,phi11BS70.fa,12291_3_66,1519,0.0
528562,phi11BS70.fa,11860_4_17,1538,0.0
528564,phi11BS70.fa,11679_1_94,1519,0.0
528565,phi11BS70.fa,11679_1_88,1519,0.0
528566,phi11BS70.fa,11679_1_36,1538,0.0
528569,phi11BS70.fa,11657_4_38,1538,0.0
528574,phi11BS70.fa,11511_8_67,1519,0.0
528577,phi11BS70.fa,7622_3_86,1519,0.0
528582,phi11BS70.fa,6569_8_15,1519,0.0
528583,phi11BS70.fa,6512_6_12,1519,0.0
528584,phi11BS70.fa,6512_5_12,1519,0.0
528586,phi11BS70.fa,6486_7_20,1519,0.0
528593,phi11BS70.fa,21946_6_89,1519,0.0
528600,phi11BS70.fa,13414_3_77,1519,0.0
528601,phi11BS70.fa,13414_1_60,1519,0.0
528602,phi11BS70.fa,11893_1_85,1519,0.0
528609,phi11BS70.fa,10071_4_3,1519,0.0
528614,phi11BS70.fa,19183_3_21,1519,0.0
528615,phi11BS70.fa,17794_8_76,1519,0.0
528616,phi11BS70.fa,17794_8_59,1519,0.0
528617,phi11BS70.fa,17794_8_44,1519,0.0
528618,phi11BS70.fa,17794_8_34,1519,0.0
528619,phi11BS70.fa,17794_7_38,1519,0.0
528620,phi11BS70.fa,17794_7_25,1519,0.0
528621,phi11BS70.fa,17428_8_174,1519,0.0
528622,phi11BS70.fa,17428_8_160,1519,0.0
528623,phi11BS70.fa,17428_8_147,1519,0.0
528624,phi11BS70.fa,17428_8_131,1519,0.0
528625,phi11BS70.fa,17428_8_121,1519,0.0
528627,phi11BS70.fa,16453_2_35,1519,0.0
528628,phi11BS70.fa,16399_6_76,1519,0.0
528630,phi11BS70.fa,15531_6_8,1519,0.0
528634,phi11BS70.fa,15531_5_74,1519,0.0
528639,phi11BS70.fa,14520_5_44,1519,0.0
528646,phi11BS70.fa,7622_5_83,1538,0.0
528647,phi11BS70.fa,7622_4_32,1538,0.0
528648,phi11BS70.fa,7622_3_87,1538,0.0
528649,phi11BS70.fa,7622_3_63,1538,0.0
528650,phi11BS70.fa,7622_2_15,1519,0.0
528651,phi11BS70.fa,7553_6_5,1538,0.0
528652,phi11BS70.fa,7553_4_48,1538,0.0
528655,phi11BS70.fa,7553_4_16,1538,0.0
528656,phi11BS70.fa,7001_3_5,1538,0.0
528657,phi11BS70.fa,7001_2_20,1538,0.0
528658,phi11BS70.fa,7001_1_15,1538,0.0
528659,phi11BS70.fa,7001_1_12,1538,0.0
528660,phi11BS70.fa,6999_6_14,1538,0.0
528661,phi11BS70.fa,6999_4_15,1538,0.0
528662,phi11BS70.fa,6925_2_90,1538,0.0
528669,phi11BS70.fa,21127_1_72,1538,0.0
528670,phi11BS70.fa,19084_8_51,1538,0.0
528671,phi11BS70.fa,19084_8_177,1538,0.0
528698,phi11BS70.fa,15873_3_71,1538,0.0
528705,phi11BS70.fa,15873_2_2,1538,0.0
528716,phi11BS70.fa,14673_3_87,1519,0.0
528717,phi11BS70.fa,14673_3_66,1538,0.0
528718,phi11BS70.fa,14673_1_68,1519,0.0
528725,phi11BS70.fa,14520_4_7,1519,0.0
528728,phi11BS70.fa,13710_1_52,1538,0.0
528730,phi11BS70.fa,11893_8_30,1538,0.0
528733,phi11BS70.fa,7622_3_75,1538,0.0
528746,phi11BS70.fa,7622_5_49,1538,0.0
528747,phi11BS70.fa,7553_5_61,1519,0.0
528748,phi11BS70.fa,6569_8_19,1538,0.0
528753,phi11BS70.fa,14673_3_35,1519,0.0
528755,phi11BS70.fa,13710_2_43,1538,0.0
528779,phi11BS70.fa,7553_5_77,1519,0.0
528781,phi11BS70.fa,6925_1_60,1538,0.0
528823,phi11BS70.fa,13154_3_55,1533,0.0
528848,phi11BS70.fa,7011_3_22,1538,0.0
528901,phi11BS70.fa,16043_2_77,1538,0.0
529087,phi11BS70.fa,9789_2_80,1519,0.0
529091,phi11BS70.fa,22027_1_67,1538,0.0
529092,phi11BS70.fa,22027_1_22,1519,0.0
529097,phi11BS70.fa,17870_8_129,1519,0.0
529098,phi11BS70.fa,17870_8_110,1519,0.0
529099,phi11BS70.fa,17870_7_92,1519,0.0
529100,phi11BS70.fa,17870_7_106,1519,0.0
529101,phi11BS70.fa,17428_8_115,1519,0.0
529103,phi11BS70.fa,17175_7_85,1519,0.0
529104,phi11BS70.fa,17175_7_84,1519,0.0
529106,phi11BS70.fa,17175_6_54,1519,0.0
529109,phi11BS70.fa,17175_4_87,1519,0.0
529110,phi11BS70.fa,17175_4_45,1519,0.0
529111,phi11BS70.fa,17175_4_32,1519,0.0
529115,phi11BS70.fa,17150_4_89,1519,0.0
529116,phi11BS70.fa,17138_4_91,1519,0.0
529117,phi11BS70.fa,17138_4_59,1519,0.0
529118,phi11BS70.fa,17138_4_41,1538,0.0
529120,phi11BS70.fa,17059_8_27,1519,0.0
529121,phi11BS70.fa,17059_7_40,1519,0.0
529123,phi11BS70.fa,16399_7_9,1519,0.0
529124,phi11BS70.fa,16399_6_49,1519,0.0
529128,phi11BS70.fa,15995_2_83,1519,0.0
529131,phi11BS70.fa,15841_4_47,1519,0.0
529133,phi11BS70.fa,15841_1_75,1519,0.0
529134,phi11BS70.fa,15531_6_4,1519,0.0
529135,phi11BS70.fa,15531_5_4,1519,0.0
529136,phi11BS70.fa,15531_3_12,1519,0.0
529137,phi11BS70.fa,15378_4_20,1519,0.0
529141,phi11BS70.fa,15277_3_71,1519,0.0
529146,phi11BS70.fa,14936_4_54,1519,0.0
529147,phi11BS70.fa,14936_4_38,1519,0.0
529149,phi11BS70.fa,14913_7_25,1519,0.0
529151,phi11BS70.fa,14913_5_22,1519,0.0
529154,phi11BS70.fa,14913_4_34,1538,0.0
529157,phi11BS70.fa,14723_3_71,1519,0.0
529159,phi11BS70.fa,14566_5_10,1519,0.0
529161,phi11BS70.fa,14555_4_80,1538,0.0
529168,phi11BS70.fa,14410_7_81,1519,0.0
529171,phi11BS70.fa,13415_8_41,1519,0.0
529174,phi11BS70.fa,13415_5_75,1519,0.0
529175,phi11BS70.fa,13415_5_52,1538,0.0
529176,phi11BS70.fa,13415_5_44,1519,0.0
529180,phi11BS70.fa,12837_5_46,1519,0.0
529182,phi11BS70.fa,12837_2_16,1519,0.0
529183,phi11BS70.fa,12291_6_16,1519,0.0
529184,phi11BS70.fa,12290_3_66,1519,0.0
529214,phi11BS70.fa,18090_5_40,1520,0.0
529215,phi11BS70.fa,17175_8_73,1520,0.0
529216,phi11BS70.fa,17175_8_59,1520,0.0
529218,phi11BS70.fa,17175_6_25,1520,0.0
529219,phi11BS70.fa,17138_4_15,1520,0.0
529220,phi11BS70.fa,17059_7_83,1520,0.0
529222,phi11BS70.fa,15841_2_70,1520,0.0
529225,phi11BS70.fa,14913_4_28,1520,0.0
529226,phi11BS70.fa,14913_4_26,1520,0.0
529227,phi11BS70.fa,13154_3_53,1453,0.0
555920,phi11BS70.fa,9789_3_83,771,0.0
559862,phi14BS69.fa,19084_8_145,25168,0.0
559867,phi14BS69.fa,11511_7_32,25168,0.0
559878,phi14BS69.fa,22695_3_272,16346,0.0
559941,phi14BS69.fa,16399_6_42,16214,0.0
559947,phi14BS69.fa,16399_5_79,16214,0.0
559954,phi14BS69.fa,16399_5_77,16214,0.0
559959,phi14BS69.fa,15531_5_61,16214,0.0
559965,phi14BS69.fa,15531_4_73,16214,0.0
559972,phi14BS69.fa,15531_4_68,16214,0.0
559979,phi14BS69.fa,14520_7_67,16214,0.0
559986,phi14BS69.fa,19183_3_22,16214,0.0
559991,phi14BS69.fa,19183_3_20,16214,0.0
559996,phi14BS69.fa,17794_8_142,16214,0.0
560005,phi14BS69.fa,17794_8_103,16214,0.0
560010,phi14BS69.fa,17794_7_127,16214,0.0
560015,phi14BS69.fa,17794_7_109,16214,0.0
560020,phi14BS69.fa,17428_8_175,16214,0.0
560025,phi14BS69.fa,17428_8_167,16214,0.0
560030,phi14BS69.fa,17428_8_156,16214,0.0
560035,phi14BS69.fa,17428_8_144,16214,0.0
560041,phi14BS69.fa,17428_8_137,16214,0.0
560046,phi14BS69.fa,17428_8_135,16214,0.0
560051,phi14BS69.fa,16399_7_70,16214,0.0
560056,phi14BS69.fa,16399_7_19,16214,0.0
560062,phi14BS69.fa,16399_7_11,16214,0.0
560067,phi14BS69.fa,16399_5_33,16214,0.0
560072,phi14BS69.fa,16399_5_26,16214,0.0
560077,phi14BS69.fa,16399_5_15,16214,0.0
560084,phi14BS69.fa,15873_5_73,16214,0.0
560089,phi14BS69.fa,15873_5_68,16214,0.0
560094,phi14BS69.fa,14410_4_2,16214,0.0
560100,phi14BS69.fa,6736_8_5,16214,0.0
560120,phi14BS69.fa,6593_5_22,16214,0.0
560124,phi14BS69.fa,22841_4_18,16214,0.0
560131,phi14BS69.fa,22027_1_38,16226,0.0
560143,phi14BS69.fa,21127_2_162,15871,0.0
560150,phi14BS69.fa,21946_6_221,15871,0.0
560156,phi14BS69.fa,21127_2_69,15871,0.0
560162,phi14BS69.fa,21127_2_56,15871,0.0
560168,phi14BS69.fa,21127_2_35,15871,0.0
560174,phi14BS69.fa,21127_2_12,15871,0.0
560180,phi14BS69.fa,21127_2_116,15871,0.0
560186,phi14BS69.fa,17966_5_118,15871,0.0
560192,phi14BS69.fa,14673_4_33,15871,0.0
560199,phi14BS69.fa,14673_1_76,15871,0.0
560205,phi14BS69.fa,13414_3_66,15871,0.0
560211,phi14BS69.fa,13414_1_3,15871,0.0
560217,phi14BS69.fa,13353_7_69,15871,0.0
560223,phi14BS69.fa,11861_5_60,15871,0.0
560229,phi14BS69.fa,11679_1_10,15871,0.0
560235,phi14BS69.fa,21127_2_47,15871,0.0
560241,phi14BS69.fa,11861_3_81,15871,0.0
560247,phi14BS69.fa,21242_2_128,15871,0.0
560253,phi14BS69.fa,21127_2_189,15871,0.0
560259,phi14BS69.fa,19084_8_5,15871,0.0
560265,phi14BS69.fa,10071_4_56,15871,0.0
560276,phi14BS69.fa,21999_7_122,15871,0.0
560292,phi14BS69.fa,6680_6_23,15603,0.0
560293,phi14BS69.fa,6259_8_6,15596,0.0
560397,phi14BS69.fa,16453_2_9,15452,0.0
560402,phi14BS69.fa,16453_2_52,15458,0.0
560407,phi14BS69.fa,16453_2_12,15452,0.0
560494,phi14BS69.fa,17175_8_8,15141,0.0
560926,phi14BS69.fa,14257_1_84,15141,0.0
560934,phi14BS69.fa,14257_1_62,15141,0.0
560986,phi14BS69.fa,13415_6_42,15141,0.0
561712,phi14BS69.fa,14410_7_44,15134,0.0
563703,phi14BS69.fa,15608_4_15,14515,0.0
566742,phi14BS69.fa,14566_6_38,13463,0.0
567452,phi14BS69.fa,15995_1_87,12933,0.0
568840,phi14BS69.fa,11861_4_39,13055,0.0
569992,phi14BS69.fa,14913_2_84,9873,0.0
570014,phi14BS69.fa,22027_1_109,9415,0.0
570023,phi14BS69.fa,13415_5_42,9421,0.0
570032,phi14BS69.fa,22841_4_144,9421,0.0
570047,phi14BS69.fa,14913_5_67,9421,0.0
570056,phi14BS69.fa,14412_1_38,9421,0.0
570065,phi14BS69.fa,13470_1_6,9415,0.0
570120,phi14BS69.fa,10395_5_38,7676,0.0
658862,phi1873.fa,6999_6_3,28263,0.0
658865,phi1873.fa,11893_1_57,28158,0.0
658867,phi1873.fa,21903_8_118,28156,0.0
658869,phi1873.fa,11657_2_9,28115,0.0
658871,phi1873.fa,22841_1_160,28134,0.0
658873,phi1873.fa,11511_7_41,28112,0.0
658875,phi1873.fa,15608_3_87,28121,0.0
658880,phi1873.fa,11893_1_58,28118,0.0
658883,phi1873.fa,14566_5_76,28112,0.0
658885,phi1873.fa,14555_3_19,28112,0.0
658887,phi1873.fa,12673_6_7,28120,0.0
658889,phi1873.fa,22695_3_302,28333,0.0
658894,phi1873.fa,6999_3_16,27492,0.0
658896,phi1873.fa,6952_4_11,27506,0.0
658898,phi1873.fa,7553_6_2,27447,0.0
658900,phi1873.fa,11657_2_72,27458,0.0
658902,phi1873.fa,7622_4_27,27456,0.0
658905,phi1873.fa,6952_7_7,27458,0.0
658907,phi1873.fa,11822_1_64,27458,0.0
658909,phi1873.fa,22841_1_46,27456,0.0
658911,phi1873.fa,21946_6_289,27456,0.0
658913,phi1873.fa,21903_8_38,27456,0.0
658915,phi1873.fa,11860_8_67,27456,0.0
658919,phi1873.fa,22695_3_278,27456,0.0
658921,phi1873.fa,13414_4_40,27449,0.0
658924,phi1873.fa,6952_7_10,27449,0.0
658926,phi1873.fa,23495_7_22,27456,0.0
658929,phi1873.fa,21946_6_351,27456,0.0
658932,phi1873.fa,21946_6_100,27456,0.0
658935,phi1873.fa,21903_8_295,27456,0.0
658938,phi1873.fa,21903_8_163,27456,0.0
658941,phi1873.fa,21903_8_150,27456,0.0
658944,phi1873.fa,21903_8_146,27456,0.0
658947,phi1873.fa,17150_4_25,27458,0.0
658949,phi1873.fa,11658_2_56,27458,0.0
658951,phi1873.fa,6999_5_16,27449,0.0
658959,phi1873.fa,21903_8_277,27456,0.0
658962,phi1873.fa,13710_2_61,27449,0.0
658964,phi1873.fa,13414_1_40,27458,0.0
658989,phi1873.fa,21946_6_317,27458,0.0
658992,phi1873.fa,12673_6_44,27458,0.0
658994,phi1873.fa,23495_7_16,27459,0.0
659007,phi1873.fa,21903_8_104,27459,0.0
659009,phi1873.fa,22695_3_22,27449,0.0
659013,phi1873.fa,6999_5_4,27459,0.0
659021,phi1873.fa,17175_4_55,27389,0.0
659024,phi1873.fa,11657_2_78,27447,0.0
659026,phi1873.fa,11860_7_85,27458,0.0
659028,phi1873.fa,7553_5_64,27449,0.0
659030,phi1873.fa,11861_5_27,27275,0.0
659033,phi1873.fa,13154_3_91,27249,0.0
659035,phi1873.fa,11826_1_61,27249,0.0
659038,phi1873.fa,11511_7_44,27249,0.0
659040,phi1873.fa,6930_8_7,27236,0.0
659043,phi1873.fa,6999_5_20,27251,0.0
659047,phi1873.fa,21946_6_291,27121,0.0
659049,phi1873.fa,6952_4_14,27121,0.0
659053,phi1873.fa,21903_8_56,27121,0.0
659055,phi1873.fa,22695_3_127,27121,0.0
659057,phi1873.fa,10071_4_14,27105,0.0
659059,phi1873.fa,21903_6_175,27030,0.0
659061,phi1873.fa,21903_8_197,27030,0.0
659063,phi1873.fa,19084_8_137,27002,0.0
659067,phi1873.fa,11511_7_52,26967,0.0
659071,phi1873.fa,15608_2_71,26984,0.0
659076,phi1873.fa,11860_7_87,26960,0.0
659078,phi1873.fa,14673_2_16,26880,0.0
659086,phi1873.fa,22695_3_290,26789,0.0
659092,phi1873.fa,23495_7_81,26619,0.0
659093,phi1873.fa,22709_8_353,26619,0.0
659094,phi1873.fa,17175_7_6,26619,0.0
659095,phi1873.fa,17150_5_44,26619,0.0
659096,phi1873.fa,21946_6_357,26619,0.0
659097,phi1873.fa,15682_2_43,26601,0.0
659098,phi1873.fa,6512_7_9,26619,0.0
659100,phi1873.fa,11861_4_1,26565,0.0
659101,phi1873.fa,11657_2_45,26532,0.0
659102,phi1873.fa,11657_8_9,26532,0.0
659103,phi1873.fa,15277_1_7,26532,0.0
659104,phi1873.fa,13414_1_58,26540,0.0
659105,phi1873.fa,7622_2_41,26532,0.0
659106,phi1873.fa,21903_8_192,26513,0.0
659107,phi1873.fa,7622_2_1,26501,0.0
659108,phi1873.fa,14673_1_46,26470,0.0
659109,phi1873.fa,7622_5_67,26497,0.0
659110,phi1873.fa,14673_4_28,26469,0.0
659112,phi1873.fa,14673_4_11,26469,0.0
659114,phi1873.fa,13154_3_77,26468,0.0
659115,phi1873.fa,11893_8_14,26468,0.0
659116,phi1873.fa,7622_4_8,26476,0.0
659117,phi1873.fa,13154_3_46,26466,0.0
659118,phi1873.fa,12291_5_46,26466,0.0
659119,phi1873.fa,11511_7_72,26466,0.0
659120,phi1873.fa,11861_1_33,26488,0.0
659122,phi1873.fa,11822_1_67,26463,0.0
659123,phi1873.fa,11657_2_84,26463,0.0
659124,phi1873.fa,19341_2_174,26489,0.0
659125,phi1873.fa,11822_1_62,26462,0.0
659126,phi1873.fa,11822_1_55,26462,0.0
659127,phi1873.fa,6472_5_4,26485,0.0
659128,phi1873.fa,15608_2_78,26467,0.0
659129,phi1873.fa,14673_1_30,26468,0.0
659130,phi1873.fa,13414_2_47,26462,0.0
659131,phi1873.fa,11860_5_42,26464,0.0
659132,phi1873.fa,6999_3_8,26448,0.0
659133,phi1873.fa,6999_5_2,26444,0.0
659134,phi1873.fa,6999_7_8,26448,0.0
659135,phi1873.fa,11860_5_21,26401,0.0
659136,phi1873.fa,11791_1_13,26188,0.0
659138,phi1873.fa,11860_4_25,26146,0.0
659140,phi1873.fa,11861_4_36,26028,0.0
659141,phi1873.fa,13415_7_29,25976,0.0
659142,phi1873.fa,14723_6_82,25988,0.0
659143,phi1873.fa,7553_5_87,25971,0.0
659144,phi1873.fa,21946_6_208,25915,0.0
659148,phi1873.fa,10208_2_22,25915,0.0
659152,phi1873.fa,14673_2_92,25544,0.0
659155,phi1873.fa,11860_6_94,25554,0.0
659160,phi1873.fa,7622_4_35,25404,0.0
659164,phi1873.fa,6999_3_9,25304,0.0
659165,phi1873.fa,6512_2_9,25278,0.0
659166,phi1873.fa,7622_2_22,25513,0.0
659167,phi1873.fa,7622_2_9,25513,0.0
659168,phi1873.fa,22709_8_289,24759,0.0
659174,phi1873.fa,21946_6_329,24090,0.0
659178,phi1873.fa,15608_4_53,24051,0.0
659180,phi1873.fa,11860_4_41,24046,0.0
659183,phi1873.fa,6930_8_23,24054,0.0
659186,phi1873.fa,21053_8_167,24055,0.0
659189,phi1873.fa,22984_8_75,24054,0.0
659193,phi1873.fa,15608_4_77,24054,0.0
659199,phi1873.fa,19084_8_162,23690,0.0
659205,phi1873.fa,6472_7_12,23651,0.0
659208,phi1873.fa,15608_3_62,23779,0.0
659211,phi1873.fa,21903_8_235,23195,0.0
659213,phi1873.fa,23495_7_53,23111,0.0
659215,phi1873.fa,22984_8_76,23110,0.0
659217,phi1873.fa,22695_3_259,23107,0.0
659219,phi1873.fa,11860_6_64,23063,0.0
659221,phi1873.fa,11861_5_72,23021,0.0
659223,phi1873.fa,11860_5_86,22152,0.0
659227,phi1873.fa,22841_3_18,22151,0.0
659231,phi1873.fa,22841_3_159,22151,0.0
659235,phi1873.fa,21946_6_183,22151,0.0
659239,phi1873.fa,19341_2_90,22141,0.0
659243,phi1873.fa,19341_2_71,22141,0.0
659247,phi1873.fa,13154_3_18,22151,0.0
659255,phi1873.fa,11861_5_16,22151,0.0
659259,phi1873.fa,11860_5_95,22141,0.0
659263,phi1873.fa,11860_5_4,22141,0.0
659267,phi1873.fa,11822_8_35,22141,0.0
659271,phi1873.fa,11822_1_72,22141,0.0
659275,phi1873.fa,11657_2_35,22151,0.0
659279,phi1873.fa,10071_4_36,22141,0.0
659283,phi1873.fa,6472_7_8,22151,0.0
659287,phi1873.fa,6470_4_8,22151,0.0
659291,phi1873.fa,22841_3_128,22151,0.0
659295,phi1873.fa,15608_4_79,22141,0.0
659299,phi1873.fa,15608_4_78,22141,0.0
659303,phi1873.fa,14723_6_84,22151,0.0
659307,phi1873.fa,14723_6_63,22151,0.0
659311,phi1873.fa,14723_6_62,22151,0.0
659315,phi1873.fa,14723_6_61,22141,0.0
659319,phi1873.fa,11861_5_87,22141,0.0
659323,phi1873.fa,6472_8_14,22151,0.0
659331,phi1873.fa,6470_4_2,22141,0.0
659335,phi1873.fa,22841_3_179,22151,0.0
659339,phi1873.fa,19341_2_176,22141,0.0
659343,phi1873.fa,6569_7_4,22152,0.0
659347,phi1873.fa,21946_6_165,22151,0.0
659352,phi1873.fa,6470_3_5,22141,0.0
659356,phi1873.fa,14673_3_52,22151,0.0
659360,phi1873.fa,6472_6_16,21949,0.0
659371,phi1873.fa,22984_8_8,18618,0.0
659377,phi1873.fa,14913_3_5,18378,0.0
659380,phi1873.fa,15731_8_17,18394,0.0
659383,phi1873.fa,7622_5_51,18242,0.0
659387,phi1873.fa,7622_2_28,18060,0.0
659390,phi1873.fa,7622_2_5,17847,0.0
659393,phi1873.fa,10050_2_42,17826,0.0
659394,phi1873.fa,17175_4_19,17838,0.0
659397,phi1873.fa,11861_5_32,17770,0.0
659401,phi1873.fa,14410_8_51,17666,0.0
659406,phi1873.fa,7622_4_2,17686,0.0
659414,phi1873.fa,13414_3_3,17592,0.0
659432,phi1873.fa,22841_4_133,17494,0.0
659442,phi1873.fa,15731_8_25,17324,0.0
659451,phi1873.fa,6512_3_12,17348,0.0
659462,phi1873.fa,21903_6_184,17775,0.0
659466,phi1873.fa,6680_8_9,17689,0.0
659476,phi1873.fa,15531_6_2,16871,0.0
659486,phi1873.fa,21946_6_59,17694,0.0
659505,phi1873.fa,6486_5_16,16722,0.0
659508,phi1873.fa,12837_1_30,16655,0.0
659510,phi1873.fa,14410_4_30,16568,0.0
659515,phi1873.fa,22695_3_193,16508,0.0
659522,phi1873.fa,14723_4_26,16873,0.0
659534,phi1873.fa,17428_8_138,16322,0.0
659540,phi1873.fa,12837_1_68,16322,0.0
659545,phi1873.fa,21127_1_178,16874,0.0
659553,phi1873.fa,14723_4_50,16749,0.0
659559,phi1873.fa,11860_4_40,16226,0.0
659569,phi1873.fa,22841_4_59,16089,0.0
659574,phi1873.fa,6731_6_22,16583,0.0
659580,phi1873.fa,21946_6_168,16036,0.0
659588,phi1873.fa,21903_8_85,16036,0.0
659596,phi1873.fa,7622_5_87,16036,0.0
659606,phi1873.fa,22841_3_92,16477,0.0
659612,phi1873.fa,6736_8_24,16879,0.0
659624,phi1873.fa,19341_2_126,16469,0.0
659628,phi1873.fa,12673_6_34,15929,0.0
659679,phi1873.fa,16288_4_34,15933,0.0
659687,phi1873.fa,11861_5_19,16621,0.0
659692,phi1873.fa,22841_4_36,16120,0.0
659696,phi1873.fa,19341_3_42,16072,0.0
659740,phi1873.fa,14723_3_81,15940,0.0
659744,phi1873.fa,6512_1_24,15915,0.0
659749,phi1873.fa,13414_8_60,15959,0.0
659753,phi1873.fa,9953_7_17,15478,0.0
659761,phi1873.fa,11893_1_50,15896,0.0
659842,phi1873.fa,6470_5_4,15263,0.0
659892,phi1873.fa,7092_6_14,15262,0.0
659901,phi1873.fa,6925_7_16,15262,0.0
659910,phi1873.fa,20925_3_51,15262,0.0
659919,phi1873.fa,19341_2_165,15262,0.0
659928,phi1873.fa,17138_5_42,15262,0.0
659937,phi1873.fa,16288_7_20,15262,0.0
659944,phi1873.fa,16288_4_46,15262,0.0
659951,phi1873.fa,17175_7_68,15262,0.0
659960,phi1873.fa,16288_5_63,15262,0.0
659969,phi1873.fa,15531_6_78,15262,0.0
659976,phi1873.fa,14913_5_74,15262,0.0
659984,phi1873.fa,14723_2_45,15262,0.0
659991,phi1873.fa,14673_4_86,15262,0.0
659998,phi1873.fa,14520_6_54,15262,0.0
660014,phi1873.fa,14410_4_23,15262,0.0
660022,phi1873.fa,12837_2_62,15262,0.0
660036,phi1873.fa,9789_2_9,15262,0.0
660041,phi1873.fa,9789_2_75,15262,0.0
660048,phi1873.fa,9716_7_37,15262,0.0
660056,phi1873.fa,17870_8_101,15262,0.0
660063,phi1873.fa,17870_7_182,15262,0.0
660070,phi1873.fa,16288_5_52,15262,0.0
660077,phi1873.fa,15531_3_91,15262,0.0
660084,phi1873.fa,15531_2_93,15262,0.0
660091,phi1873.fa,15531_2_39,15262,0.0
660098,phi1873.fa,15378_4_37,15262,0.0
660103,phi1873.fa,15378_4_32,15262,0.0
660108,phi1873.fa,15378_2_9,15262,0.0
660117,phi1873.fa,14936_5_59,15262,0.0
660126,phi1873.fa,14936_5_34,15262,0.0
660133,phi1873.fa,12290_2_34,15262,0.0
660140,phi1873.fa,16288_5_28,15255,0.0
660148,phi1873.fa,17870_8_126,15262,0.0
660164,phi1873.fa,15378_4_19,15262,0.0
660173,phi1873.fa,15378_3_95,15262,0.0
660195,phi1873.fa,17794_7_77,15262,0.0
660202,phi1873.fa,17059_8_84,15270,0.0
660210,phi1873.fa,15531_5_46,15271,0.0
660225,phi1873.fa,19341_2_119,15265,0.0
660232,phi1873.fa,16288_3_45,15265,0.0
660244,phi1873.fa,13415_8_90,15265,0.0
660251,phi1873.fa,15682_1_74,16028,0.0
660257,phi1873.fa,9789_4_39,15262,0.0
660264,phi1873.fa,15378_3_7,15262,0.0
660278,phi1873.fa,17138_5_49,15272,0.0
660290,phi1873.fa,7038_6_24,15265,0.0
660295,phi1873.fa,7011_4_24,15265,0.0
660332,phi1873.fa,14723_2_26,15265,0.0
660342,phi1873.fa,13415_4_26,15265,0.0
660358,phi1873.fa,20957_7_115,15265,0.0
660363,phi1873.fa,13415_6_78,15265,0.0
660368,phi1873.fa,10071_4_23,15265,0.0
660485,phi1873.fa,15531_5_56,15265,0.0
660533,phi1873.fa,18090_2_80,15273,0.0
660541,phi1873.fa,19341_3_109,15273,0.0
660544,phi1873.fa,18090_2_82,15273,0.0
660552,phi1873.fa,18090_2_78,15273,0.0
660573,phi1873.fa,16453_2_48,15273,0.0
660612,phi1873.fa,6983_2_24,15273,0.0
660619,phi1873.fa,6925_4_4,15273,0.0
660632,phi1873.fa,13353_7_59,15274,0.0
660640,phi1873.fa,15995_2_55,15282,0.0
660656,phi1873.fa,20925_3_93,15272,0.0
